## Source: Fernandez-Viagas & Framinan (2017) Table 9
name ub
ta001 14033  
ta002 15151  
ta003 13301  
ta004 15447  
ta005 13529  
ta006 13123  
ta007 13548  
ta008 13948  
ta009 14295  
ta010 12943 
ta011 20911 
ta012 22440 
ta013 19833 
ta014 18710 
ta015 18641 
ta016 19245 
ta017 18363 
ta018 20241 
ta019 20330 
ta020 21320 
ta021 33623 
ta022 31587 
ta023 33920 
ta024 31661 
ta025 34557 
ta026 32564 
ta027 32922 
ta028 32412 
ta029 33600 
ta030 32262 
ta031 64802  
ta032 68051  
ta033 63162  
ta034 68226  
ta035 69351  
ta036 66841  
ta037 66253  
ta038 64332  
ta039 62981  
ta040 68770  
ta041 87114  
ta042 82820  
ta043 79931  
ta044 86446  
ta045 86377  
ta046 86587  
ta047 88750  
ta048 86727  
ta049 85441  
ta050 87998  
ta051 125831 
ta052 119247 
ta053 116459 
ta054 120261 
ta055 118184 
ta056 120586 
ta057 122880 
ta058 122489 
ta059 121872 
ta060 123954 
ta061 253232 
ta062 242093 
ta063 237832 
ta064 227738 
ta065 240301 
ta066 232342 
ta067 240366 
ta068 230945 
ta069 247677 
ta070 242933 
ta071 298385 
ta072 273826 
ta073 288114 
ta074 301044 
ta075 284279 
ta076 269686 
ta077 279463 
ta078 290908 
ta079 301970 
ta080 291283 
ta081 365463 
ta082 372449 
ta083 370027 
ta084 372393 
ta085 368915 
ta086 370908 
ta087 373408 
ta088 384525 
ta089 374423 
ta090 379296 
ta091 1042494
ta092 1028957
ta093 1043467
ta094 1029244
ta095 1029384
ta096 999241
ta097 1042663
ta098 1035981
ta099 1015389
ta100 1022277
ta101 1223860
ta102 1234081
ta103 1259866
ta104 1228060
ta105 1219886
ta106 1219432
ta107 1234366
ta108 1240627
ta109 1220873
ta110 1235462
ta111 6558547
ta112 6679507
ta113 6624893
ta114 6649855
ta115 6590021
ta116 6603691
ta117 6576201
ta118 6629393
ta119 6589205
ta120 6626342
