# instance ub_pfs_csum ub_pfs_cmax
VFR100_20_1_Gap 370505 6192
VFR100_20_2_Gap 376870 6278
VFR100_20_3_Gap 371265 6218
VFR100_20_4_Gap 371611 6236
VFR100_20_5_Gap 372351 6260
VFR100_20_6_Gap 371304 6298
VFR100_20_7_Gap 380903 6415
VFR100_20_8_Gap 360718 6083
VFR100_20_9_Gap 380394 6345
VFR100_20_10_Gap 365528 6134
VFR100_40_1_Gap 521213 7847
VFR100_40_2_Gap 528423 7974
VFR100_40_3_Gap 523271 7912
VFR100_40_4_Gap 522267 7923
VFR100_40_5_Gap 526676 8003
VFR100_40_6_Gap 528140 7988
VFR100_40_7_Gap 525428 7977
VFR100_40_8_Gap 525889 7946
VFR100_40_9_Gap 520608 7894
VFR100_40_10_Gap 525072 7928
VFR100_60_1_Gap 648645 9345
VFR100_60_2_Gap 671835 9537
VFR100_60_3_Gap 649076 9323
VFR100_60_4_Gap 663003 9394
VFR100_60_5_Gap 657055 9402
VFR100_60_6_Gap 676821 9642
VFR100_60_7_Gap 648846 9344
VFR100_60_8_Gap 671043 9533
VFR100_60_9_Gap 655747 9503
VFR100_60_10_Gap 668132 9555
VFR200_20_1_Gap 1218846 11299
VFR200_20_2_Gap 1218865 11248
VFR200_20_3_Gap 1238395 11306
VFR200_20_4_Gap 1220315 11192
VFR200_20_5_Gap 1222215 11167
VFR200_20_6_Gap 1245221 11331
VFR200_20_7_Gap 1242387 11356
VFR200_20_8_Gap 1208818 11123
VFR200_20_9_Gap 1202829 11089
VFR200_20_10_Gap 1231792 11299
VFR200_40_1_Gap 1587197 13139
VFR200_40_2_Gap 1580719 13050
VFR200_40_3_Gap 1594558 13233
VFR200_40_4_Gap 1592167 13140
VFR200_40_5_Gap 1574224 12948
VFR200_40_6_Gap 1588395 13073
VFR200_40_7_Gap 1577987 13217
VFR200_40_8_Gap 1570803 13134
VFR200_40_9_Gap 1576462 13071
VFR200_40_10_Gap 1576366 13143
VFR200_60_1_Gap 1905428 14947
VFR200_60_2_Gap 1909316 14912
VFR200_60_3_Gap 1918779 15150
VFR200_60_4_Gap 1890335 14939
VFR200_60_5_Gap 1911805 15066
VFR200_60_6_Gap 1898598 14964
VFR200_60_7_Gap 1901833 14995
VFR200_60_8_Gap 1905974 14900
VFR200_60_9_Gap 1894955 14937
VFR200_60_10_Gap 1891278 14917
VFR300_20_1_Gap 2523289 16098
VFR300_20_2_Gap 2587590 16493
VFR300_20_3_Gap 2527732 16147
VFR300_20_4_Gap 2535577 16157
VFR300_20_5_Gap 2553971 16303
